Date,Open,High,Low,Close,Adj Close,Volume,symbol,return,SMA_5,SMA_15,Outcome,SMA_ratio,15MA,SD,upperband,lowerband,RC
2019-01-02,50.82849884033203,52.61600112915039,50.785499572753906,52.29249954223633,52.29249954223633,30652000,GOOG,,,,S,,,,,,
2019-01-03,52.04999923706055,52.8489990234375,50.70349884033203,50.803001403808594,50.803001403808594,36822000,GOOG,-0.02848397287310156,,,S,,,,,,
2019-01-04,51.62950134277344,53.54199981689453,51.37089920043945,53.535499572753906,53.535499572753906,41878000,GOOG,0.05378615620022131,,,B,,,,,,
2019-01-07,53.57500076293945,53.70000076293945,52.737998962402344,53.419498443603516,53.419498443603516,39638000,GOOG,-0.002166807633741219,,,S,,,,,,
2019-01-08,53.80550003051758,54.22800064086914,53.0265007019043,53.81399917602539,53.81399917602539,35298000,GOOG,0.00738495762625635,52.77289962768555,,B,,,,,,
2019-01-09,54.08250045776367,54.131500244140625,53.31999969482422,53.733001708984375,53.733001708984375,23986000,GOOG,-0.0015051374787454774,53.06100006103516,,S,,,,,,
2019-01-10,53.382999420166016,53.557498931884766,52.885501861572266,53.51649856567383,53.51649856567383,29128000,GOOG,-0.0040292396930124985,53.6036994934082,,S,,,,,,
2019-01-11,53.159000396728516,53.188751220703125,52.42399978637695,52.859500885009766,52.859500885009766,30416000,GOOG,-0.012276544584803428,53.468499755859376,,S,,,,,,
2019-01-14,52.34600067138672,52.576499938964844,52.06275177001953,52.234500885009766,52.234500885009766,22886000,GOOG,-0.011823796848926427,53.231500244140626,,S,,,,,,
2019-01-15,52.50849914550781,54.002498626708984,52.367000579833984,53.85749816894531,53.85749816894531,29272000,GOOG,0.0310713657915187,53.24020004272461,,B,,,,,,
2019-01-16,54.0,54.618751525878906,53.96699905395508,54.048500061035156,54.048500061035156,26636000,GOOG,0.00354643083291184,53.30329971313476,,B,,,,,,
2019-01-17,53.9734992980957,54.59000015258789,53.67499923706055,54.494998931884766,54.494998931884766,24854000,GOOG,0.00826107792714681,53.498999786376956,,B,,,,,,
