2005-01-11 18:00:00,4.8466,4.8466,4.8411,4.8411,88330
2005-01-12 08:00:00,4.858,4.858,4.8374,4.8374,315416
2005-01-12 09:00:00,4.8371,4.864,4.7808,4.8013,56405671
2005-01-12 10:00:00,4.8015,4.8394,4.7589,4.7622,64886342
2005-01-12 11:00:00,4.7622,4.8262,4.7447,4.812,48493688
2005-01-12 12:00:00,4.8122,4.8257,4.7838,4.792,26760493
2005-01-12 13:00:00,4.7905,4.8072,4.7689,4.7793,23933978
2005-01-12 14:00:00,4.7778,4.8194,4.7758,4.8127,24200250
2005-01-12 15:00:00,4.8145,4.88,4.8105,4.866,79801275
2005-01-12 16:00:00,4.8658,4.9029,4.8643,4.8899,2546069
2005-01-12 17:00:00,4.8897,4.8939,4.8663,4.8842,7635113
2005-01-12 18:00:00,4.8929,4.8929,4.8842,4.8842,84074
2005-01-13 08:00:00,4.8832,4.8832,4.8565,4.8618,1038075
2005-01-13 09:00:00,4.8643,4.8817,4.8331,4.862,30208886
2005-01-13 10:00:00,4.8627,4.9163,4.8486,4.8894,79456149
2005-01-13 11:00:00,4.8897,4.9158,4.8842,4.8942,40129732
2005-01-13 12:00:00,4.8966,4.9066,4.8839,4.8934,26240672
2005-01-13 13:00:00,4.8947,4.8994,4.8618,4.8932,24666713
2005-01-13 14:00:00,4.8939,4.9081,4.877,4.8797,26366821
2005-01-13 15:00:00,4.8797,4.8854,4.8598,4.8633,44976435
2005-01-13 16:00:00,4.864,4.8683,4.8593,4.8618,1284195
2005-01-13 17:00:00,4.8595,4.8673,4.8595,4.8658,108606
2005-01-13 18:00:00,4.863,4.863,4.858,4.858,100214
2005-01-14 08:00:00,4.8956,4.8991,4.8815,4.8867,464535
2005-01-14 09:00:00,4.8879,4.8902,4.8575,4.863,32210039
2005-01-14 10:00:00,4.8618,4.9166,4.8351,4.9118,71296722
2005-01-14 11:00:00,4.9108,4.9233,4.8984,4.9111,36380814
2005-01-14 12:00:00,4.9111,4.9492,4.9091,4.9183,58840770
2005-01-14 13:00:00,4.9188,4.9308,4.9084,4.9143,35022627
2005-01-14 14:00:00,4.9141,4.9689,4.9116,4.9666,71845806
2005-01-14 15:00:00,4.9664,4.9816,4.9494,4.9811,76092110
2005-01-14 16:00:00,4.9808,4.9905,4.9626,4.9818,3815127
2005-01-14 17:00:00,4.9838,4.9861,4.9806,4.9813,321077
2005-01-14 18:00:00,4.9838,4.9838,4.9813,4.9813,74599
2005-01-18 08:00:00,4.9938,5.0414,4.9888,4.9995,2285694
2005-01-18 09:00:00,5.0005,5.0277,4.948,5.01,94411637
2005-01-18 10:00:00,5.0112,5.1064,5.0045,5.0745,155359953
2005-01-18 11:00:00,5.0745,5.0747,5.0262,5.0304,69064018
2005-01-18 12:00:00,5.0306,5.0653,5.0262,5.0588,37553676
2005-01-18 13:00:00,5.0613,5.0834,5.0498,5.072,32985773
2005-01-18 14:00:00,5.0697,5.0777,5.0414,5.0653,37926306
2005-01-18 15:00:00,5.066,5.0812,5.0374,5.0795,71928998
2005-01-18 16:00:00,5.0795,5.1295,4.9873,5.1054,19670497
2005-01-18 17:00:00,5.1071,5.1258,5.0785,5.1208,2525710
2005-01-18 18:00:00,5.1255,5.127,5.1208,5.127,1006839
2005-01-19 08:00:00,5.1133,5.1178,5.071,5.0957,5479824
2005-01-19 09:00:00,5.0959,5.1133,5.0142,5.0399,84566793
